group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
shell_sweep,0.3,22,conchas,61,0.23621100410763587,0.11187281793527966,5.336445,0.2930536525330935
shell_sweep,0.3,23,conchas,53,0.24593832173357277,0.11524180487971387,5.35877,0.2955095199118613
shell_sweep,0.3,24,conchas,51,0.24655706093433188,0.11106664227233225,5.3683749999999995,0.29756770983527586
shell_sweep,0.3,25,conchas,67,0.24165890608122131,0.09918760245818899,5.343225,0.2954378201850445
shell_sweep,0.3,26,conchas,73,0.24100565031434196,0.11262355745349388,5.357885,0.29635207804901786
shell_sweep,0.3,27,conchas,73,0.2362861868838517,0.10840458330684635,5.342685,0.29206819623571084
shell_sweep,0.3,28,conchas,74,0.24338378050527204,0.0979664690508064,5.3112,0.30035113098925287
shell_sweep,0.3,29,conchas,74,0.24601546973391036,0.10345543790639121,5.320975,0.30151187000421453
shell_sweep,0.3,3,conchas,64,0.24734544079674628,0.09763449341618106,5.3311,0.2938132631813277
shell_sweep,0.3,4,conchas,64,0.2363504795949393,0.1044376749547176,5.32168,0.299396804157862
shell_sweep,0.3,5,conchas,73,0.24743130358134918,0.10860173296764641,5.3396550000000005,0.2973881649545348
shell_sweep,0.3,6,conchas,77,0.24074290643449056,0.09571529730378861,5.344105,0.2972678898135291
shell_sweep,0.3,7,conchas,64,0.24471661517656462,0.11179660911591478,5.359935,0.2982338254592182
shell_sweep,0.3,8,conchas,64,0.2346953537459791,0.11336599597005147,5.33879,0.30151522081186316
shell_sweep,0.3,9,conchas,64,0.25002224298407266,0.10355612732659011,5.359439999999999,0.2952453303266782
shell_sweep,1.0,0,conchas,74,0.24048739673774605,0.09763259012601855,5.34147,0.2442650313228521
shell_sweep,1.0,1,conchas,64,0.24350924867321105,0.10862055214852687,5.33738,0.24687841497342408
shell_sweep,1.0,10,conchas,65,0.24284506984301696,0.10820057863839902,5.3493949999999995,0.24350374406147993
shell_sweep,1.0,11,conchas,64,0.24427015344324282,0.11320600784838422,5.3334,0.2430942662515827
shell_sweep,1.0,12,conchas,64,0.2614928338093816,0.110497763773528,5.35705,0.2459983575439495
shell_sweep,1.0,13,conchas,66,0.23325281434072642,0.11098012114313589,5.342695,0.24273368415927898
shell_sweep,1.0,14,conchas,60,0.253248409114443,0.11422653871225937,5.331925,0.24323046225301115
shell_sweep,1.0,15,conchas,64,0.2377073390609622,0.10274951198238984,5.3404300000000005,0.2414330006483355
shell_sweep,1.0,16,conchas,64,0.234088667926201,0.10362602347436776,5.341395,0.24496476541846982
shell_sweep,1.0,17,conchas,64,0.23560634216910428,0.1083167861190888,5.326565,0.24344141089366172
shell_sweep,1.0,18,conchas,77,0.23882809581861816,0.10624882702221371,5.347395000000001,0.2437360063055418
shell_sweep,1.0,19,conchas,65,0.2416984451133583,0.11458158410299468,5.346245,0.24676920928334464
shell_sweep,1.0,2,conchas,64,0.2412374899945496,0.11043047976686421,5.367954999999999,0.2428249987637755
shell_sweep,1.0,20,conchas,65,0.2419982960117566,0.1192357198461574,5.350485,0.24278268939487774
shell_sweep,1.0,21,conchas,65,0.23828664772431665,0.1117298935376902,5.36167,0.24226043657107774
shell_sweep,1.0,22,conchas,65,0.24545357080121064,0.10041267711573255,5.34163,0.24076962280214592
shell_sweep,1.0,23,conchas,69,0.24549824455973246,0.10256379378861044,5.352659999999999,0.24085934990629668
shell_sweep,1.0,24,conchas,64,0.2469913611044622,0.10358946979342068,5.343484999999999,0.24357332435089862
shell_sweep,1.0,25,conchas,64,0.23520676252594108,0.11059603689677389,5.351265,0.24320403067646343
shell_sweep,1.0,26,conchas,65,0.24331397005032984,0.11165136909553532,5.330135,0.24482311007425245
shell_sweep,1.0,27,conchas,65,0.2392646978110462,0.09290047548778488,5.33556,0.24363918958238157
shell_sweep,1.0,28,conchas,64,0.2499826931372208,0.09868229116016726,5.33614,0.24619328534648813
shell_sweep,1.0,29,conchas,66,0.2362432420317254,0.10616438356164383,5.34062,0.243823338902879
shell_sweep,1.0,3,conchas,73,0.23423384817128975,0.10282478193227403,5.3415300000000006,0.2405820688211082
shell_sweep,1.0,4,conchas,85,0.24606713300858307,0.11294807683320092,5.360214999999999,0.24422642269315073
shell_sweep,1.0,5,conchas,72,0.24345973487158956,0.102199422373922,5.34804,0.2432995944462123
shell_sweep,1.0,6,conchas,65,0.2515788540015775,0.09183720940067922,5.3294500000000005,0.2437097884749446
shell_sweep,1.0,7,conchas,64,0.24497982053621276,0.11133295537643685,5.336915,0.24570213604426364
shell_sweep,1.0,8,conchas,65,0.2336443271865303,0.10819969298102361,5.35276,0.2429385957256341
shell_sweep,1.0,9,conchas,64,0.2480048505127524,0.12549619275939883,5.348285,0.24402568234325211
shell_sweep,3.0,0,conchas,64,0.23777633126280032,0.11964039269807415,5.3377,0.31166467759888355
shell_sweep,3.0,1,conchas,55,0.24313862954699617,0.10857259912041604,5.341635,0.3157488987795541
shell_sweep,3.0,10,conchas,64,0.23355126918148178,0.11043616373356474,5.37423,0.3140744841007571
shell_sweep,3.0,11,conchas,52,0.23906621980291004,0.10660102101442968,5.38183,0.3123622025708952
shell_sweep,3.0,12,conchas,64,0.2500219498941338,0.10575743559836709,5.345465000000001,0.3144909091738706
shell_sweep,3.0,13,conchas,60,0.23541346817893175,0.10379707167603892,5.297034999999999,0.31821785862425506
shell_sweep,3.0,14,conchas,52,0.2437438248572646,0.11173759044876616,5.367635,0.3134240111085197
shell_sweep,3.0,15,conchas,72,0.24398355861627763,0.10364534183723276,5.3445100000000005,0.3152703157872041
shell_sweep,3.0,16,conchas,52,0.23873621599261677,0.10748055771028502,5.34274,0.3167460150128324
shell_sweep,3.0,17,conchas,52,0.24611226415102794,0.10714729546083199,5.362045,0.31366631778504134
shell_sweep,3.0,18,conchas,80,0.23518712916836731,0.10315988975973914,5.323215,0.3144829710681519
shell_sweep,3.0,19,conchas,64,0.24746695787038278,0.09826335815798888,5.34818,0.3128935437052452
shell_sweep,3.0,2,conchas,65,0.24489722252733986,0.11024078793140005,5.349545000000001,0.31580445570971205
shell_sweep,3.0,20,conchas,65,0.24947546932681114,0.11329595482677216,5.347899999999999,0.31441125302544665
shell_sweep,3.0,21,conchas,66,0.24377877718006688,0.10400051298904288,5.34138,0.314550229762199
shell_sweep,3.0,22,conchas,65,0.24478775583425785,0.10206404159229489,5.3395150000000005,0.31400207727859264
shell_sweep,3.0,23,conchas,60,0.2456093436649653,0.10177244610750065,5.334895,0.317010662363926
shell_sweep,3.0,24,conchas,52,0.24111081652710598,0.10397315030683614,5.338010000000001,0.31555701928817437
shell_sweep,3.0,25,conchas,64,0.2501168208697174,0.10827025917744058,5.327459999999999,0.31439860386469354
shell_sweep,3.0,26,conchas,64,0.254551091431218,0.10804853420462848,5.33724,0.3151600227364281
shell_sweep,3.0,27,conchas,64,0.2448804923903333,0.10070620611505696,5.34673,0.31267078432880935
shell_sweep,3.0,28,conchas,64,0.24230985326341775,0.10449706801789838,5.3453800000000005,0.3141211200552327
shell_sweep,3.0,29,conchas,65,0.23548808506162172,0.10916409240480827,5.34601,0.31625804027468485
shell_sweep,3.0,3,conchas,68,0.23557212306041556,0.10787662214011078,5.351585,0.31717167445837385
shell_sweep,3.0,4,conchas,77,0.2414566441036307,0.11089294515954395,5.34884,0.3146928342957747
shell_sweep,3.0,5,conchas,78,0.24523386444989506,0.1139816246702447,5.35992,0.3140513856176176
